Nombre;Contacto;Concejo;Zona;Direccion;Telefono;Email;Web;MasInformacion;Descargas;Archivo;ArchivoTitulo;RedesSociales;Facebook;Twitter;Youtube;GooglePlus;Pinterest;Instagram;Rss;OtrosCanales;NombreCanal;CanalUrl;Informacion;Titulo;Texto;Horario;Tarifas;FechaDeConstruccion;Observaciones;Geolocalizacion;Coordenadas;Visualizador;Slide;SlideTitulo;SlideUrl
Museo de la Madera;;Caso;Centro de Asturias;Aldea de Veneros. 33990 El Campu;985 608 097;reservas@museoscaso.com;https://www.ayto-caso.es/museos;;;;;;;;;;;;;;;;;El Museo de la Madera de Caso se localiza en un palacio rural del siglo XVI en la aldea casina de Veneros.;Imprescindible para moverse por los embarrados caminos de la región, la madreña, aunque tan asturiana como la sidra, no se utilizaba únicamente en estas tierras. Muchas regiones del norte de España y de Europa han recurrido a esta práctica solución indispensable en climas húmedos y lluviosos. Ejemplos de todos esos lugares están representados en este singular museo. Pero el Museo de la Madera de Caso es mucho más. Desde tiempos remotos la madera ha jugado un papel fundamental en la vida de los pobladores de este concejo asturiano. Su abundancia hizo que el trabajo de este material alcanzara aquí gran calidad y los artesanos casinos una merecida fama&#59; especialmente los madreñeros. La madera era el material con el que se fabricaban los aperos de labranza, los carros y demás elementos para el transporte, las cestas o los instrumentos musicales. Su uso era de especial importancia en la casa campesina, donde no sólo era el principal material para su construcción, sino también para todo el mobiliario y ajuar doméstico. De igual forma era imprescindible para las construcciones auxiliares de la casería, como pajares y cuadras, y con especial protagonismo en la construcción que preside el paisaje rural asturiano, el hórreo, construido todo él en madera, salvo las tejas de la cubierta, la escalera de acceso y, salvo en lo de más antigüedad, los apoyos. De todos estos objetos y construcciones tendremos información en el Museo de la Madera, cuya visita nos adentrará en el mundo rural asturiano y su forma de vida tradicional. Como complemento a la visita al interior del Museo, resulta especialmente recomendable un paseo por la aldea de Veneros. Desde lo más próximo al museo, con la capilla que formaba conjunto con el palacio, hasta el último rincón, pasando por magníficos ejemplos de hórreos. Alguno de ellos se encuentra entre los más antiguos de Asturias, cuya construcción original se remonta al siglo XVI.;Verano (26/06 a 10/09) Miércoles a sábado: 11:00 a 14:00 y 16:00 h a 19:00 h Domingos: 11:00 a 14:00 h. Cerrado: Lunes, martes y domingos (tarde) Visita guiadas: 12:00 y 17:00 h. Resto del año: Sábados, domingos y festivos: 11:00 a 14:00 y 16:00 a 18:00 h. Visita guiadas: 12:00 y 17:00 h. Visitas combinadas: Museo + visita etnográfica guiada al pueblo de Veneros  ;;;Las visitas de los colegios se concertarán los días de apertura;;43.178579,-5.333501;;/documents/11022/395373/museo_de_la_madera+%284%29.jpg/1e15d694-35e2-40d0-8aa3-26a83ca27cc6?t=1563869650119,/documents/11022/395373/museo_de_la_madera+%281%29.jpg/a4fe063b-1bca-4a34-89ac-ce69af8cffa2?t=1563869647155,/documents/11022/395373/museo_de_la_madera+%283%29.jpg/3a51e704-e924-4689-b0b4-4ffeae0e7104?t=1563869649403,/documents/11022/395373/museo_de_la_madera+%282%29.jpg/fb3e089b-19d7-4415-b893-f8e5f17e0416?t=1563869648607;Museo de la Madera,Museo de la Madera,Museo de la Madera,Museo de la Madera;,,,
Museo del Oro de Asturias MOA;;Tineo;Occidente de Asturias;Barrio San Nicolás. 33873 Navelgas;985 806 018;info@museodeloro.es;http://www.museodeloro.es;;;;;;https://www.facebook.com/MOANavelgas/?ref=bookmarks;https://twitter.com/MOroAsturias;;;;https://www.instagram.com/museodelorodeasturias/?hl=es;;;;;;Ubicado en el pueblo de Navelgas (Tinéu), es un museo único dedicado al oro y su historia en Asturias;Este museo, además de los contenidos históricos y geológicos, cuenta con una actividad esencial para completar la visita, que además está disponible diariamente, y es la del Bateo de Oro, con un taller en el que se inicia a los ?neófitos' en esta actividad. El bateo de oro es una actividad muy arraigada en este pueblo, que en repetidas ocasiones ha acogido campeonatos nacionales e internacionales de esta modalidad. Además, Navelgas es la ?capital' del Valle del Oro, lo que significa que la inmersión en este ?dorado' asturiano puede completarse con alguna ruta en la que se observa la abundancia de yacimientos auríferos, en los que los procedimientos de extracción fueron variados: desde la batea hasta la explotación de minas por hundimiento, lo que configuro un paisaje singular, aún visible después de muchos siglos.;Martes (tarde) a domingo (mañana): 11:00 a 14:00 y 16:00 a 19:00 h. Cerrado: domingo (tarde), lunes y martes (mañana) y el tercer fin de semana de cada mes Reservas a través de la web, email, teléfono o en la recepción del museo. Mañanas*: 11:00, 11:30, 12:00, 12:30, 13:00 y 13:30 h. Tarde*: 16:00, 16:30, 17:00, 17:30, 18:00 y 18:30 h. * Teniendo en cuanta el horario especifico de cada día. TALLER DE BATEO   Abril a octubre: 12.00, 13.00, 17.00 y 18.00 h. Noviembre a marzo: 12.00, 13.00, 16.30 y 17.30 h.        ;Individual: 2,5 ? Reducida: 1 ? Miércoles entrada gratuita.;2006;Taller de bateo (todos los días en los que el museo esté abierto). Reserva taller Accesible y movilidad interior practicable.;;43.403299,-6.543859;;/documents/11022/86138/MuseoOro1.jpg/a453db7d-c665-4fe0-96e0-6ecff2874f6f?t=1466077262525,/documents/11022/86138/MuseoOro2.jpg/89fc363d-c723-47f7-a226-99a227b46fde?t=1466077271975,/documents/11022/86138/MuseoOro3.jpg/6e93ff40-2f39-4c2e-beb1-f1d1624abf1f?t=1466077284810,/documents/11022/86138/MuseoOro4.jpg/482869fe-b90d-464e-b882-66bc6144f86a?t=1466077294488;Museo del Oro de Asturias - MOA,Museo del Oro de Asturias - MOA,Museo del Oro de Asturias - MOA,Museo del Oro de Asturias - MOA;,,,
Jardín Botánico Atlántico;;Gijón;Centro de Asturias;Avda. Jardín Botánico, 2230 - 33394 Gijón;985 185 130 (taquilla) / 985 185 131 (oficinas);información.botanico@gijon.es;www.botanicoatlantico.com;;;;;;;;;;;;;;;;;Un Museo vegetal especializado en la flora y vegetación del mundo Atlántico.;Más de 30.000 plantas de 2.500 especies diferentes en un entorno de 25 hectáreas, 16 de las cuales ya están abiertas al público. Sus colecciones, organizadas  en 4 áreas temáticas, con el océano Atlántico como hilo conductor, te permiten conocer  las plantas utilizadas por el hombre en el Viejo y el Nuevo Mundo, viajar entre dunas, marismas, bosques boreales, y recorrer un jardín de más de 150 años de antigüedad, así como algunos bosques naturales, maduros y bien conservados, integrados en el recinto: la Aliseda del río Peñafrancia y la Carbayera del Tragamón con sus robles centenarios. Cuenta con una casería rural tradicional asturiana, la Quintana de Rionda, formada por la Casa, la Cuadra, el Llagar, el Molino y la Panera, recuperados y habilitados como museos para completar información sobre las colecciones. Todo ello se completa con otros espacios expositivos y diferentes soportes explicativos para la interpretación de los contenidos presentes en el recorrido, que hacen de este Botánico un espacio único y singular. Ofrece un amplio programa de visitas guiadas (general y temáticas) incluidas en el precio de la entrada individual, además de una extensa oferta formativa y lúdica para todo tipo de públicos, con talleres infantiles todos los sábados, conferencias y cursos, fiestas en cada cambio de estación, eventos nocturnos, teatro y conciertos.;Octubre a mayo: Martes a domingo: 10:00 a 18:00 h. Junio a septiembre: Martes a domingo: 10:00 a 21:00 h. Lunes cerrado;Individual: Adulto: 2,90 ? Juvenil (12 a 26 años) y senior (más de 65): 1,80 ? Menores de 12 años (no válido para grupos): gratuito Grupos: + 10 personas): 2,20 ? Visita guiada con cita previa (hasta 30 pax): Grupo guiado adulto: 76,50 ? Grupo guiado educativo: 50 ? Consultar frecuencias de las visitas guiadas, así como tarifas especiales en la web.  ;;Aforo limitado. Se recomienda adquirir la entrada online. Suspendidas temporalmente las visitas guiadas. Posibilidad de visita en dos franjas horarias. Abierto en su totalidad, si bien algunos caminos permanecen cerrados para permitir la visita en una dirección única. Autobús: líneas 1,2 y 18 (diario), 26 (sólo fines de semana). Accesible.;;+43.521502, -5.615784;;/documents/11022/76702/JardinBotanico1.jpg/3ba818a1-f2f7-42a3-b53d-dc0f31c7beee?t=1400658537976,/documents/11022/76702/JardinBotanico2.jpg/57ae3ab4-5606-403d-be4d-d6f7e2af8475?t=1400660517180,/documents/11022/76702/JardinBotanico3.jpg/337db3b7-6053-43c9-bd31-03de9ee2b212?t=1400658538334,/documents/11022/76702/JardinBotanico4.jpg/69c79145-9f23-4fa9-b377-bd9eff74d3cc?t=1400658537685;Exterior de la Quintana Rionda,Tragamón y Carbonera,Laguna y Pabellón Boreal Carlos Linneo,Paseo por el Jardín Botánico Atlántico;,,,
Ecomuseo del Pan;;Villanueva de Oscos;Occidente de Asturias;33777. Santa Eufemia. Vilanova;985 626 219;oficinadeturismo@villanuevadeoscos.es;http://www.villanuevadeoscos.es/que-visitar;;;;;;https://www.facebook.com/pages/Ecomuseo-del-Pan/398224423552388?ref=ts&fref=ts;;;;;;;;;;;Muestra de todo el proceso de elaboración del pan.;El Ecomuseo del Pan nos muestra el ciclo completo de elaboración del pan, desde la siembra del cereal a la cocción, pasando por la recogida, la molienda y el amasado. El Ecomuseo consta de tres salas en las que se muestran paneles y piezas relacionadas con los trabajos a desarrollar en cada una de ellas: De la tierra a la era: siembra y siega De la era al hórreo: mallegas y almacenamiento del grano Del hórreo a la mesa: molienda, elaboración y consumo   Se muestra también un hórreo con los correspondientes arcones en los que se guardaba el grano, una máquina de mallar, un huerto donde se siembra el cereal y un molino.;Julio a octubre (horario información turística): 10:30 a 13:00 y 16:00 a 16:30 h. Visitas Guiadas (Imprescindible cita previa: 985 626 219) - Ecomuseo del Pan (Santa Eufemia): 13:00 y 16:30 h. No se permiten visitas libres. - Monasterio e Iglesia (Vilanova): 18:00 h. Comienza en la puerta de la iglesia.  ;;;;;43.303835,-6.992066;;/documents/11022/76508/EcomuseoPan_02.jpg/889bdb9b-aa0a-4b76-8cbc-1ea5fa828aef?t=1397571984791,/documents/11022/76508/EcomuseoPan_03.jpg/f17c3ac4-c79a-443a-a363-6255147c11ac?t=1397571984991,/documents/11022/76508/EcomuseoPan_01.jpg/691ff6f3-aa2d-46a9-a705-9d038a94e85c?t=1397571984495,/documents/11022/76508/EcomuseoPan_04.jpg/a8a34651-d15c-41ec-be60-f95f90e07bca?t=1397572110068;Ecomuseo del Pan,Ecomuseo del Pan,Ecomuseo del Pan | Máquina usada en el proceso de elaboración del pan,Ecomuseo del Pan Hornos;,,,
Casa de les Radios;;Bimenes;Oriente de Asturias;33528 Suares AS-324;985 700 491;casadelesradios@gmail.com;http://www.casadelesradios.blogspot.com.es;;;;;;;;;;;;;;;;;Un espacio para sintonizar con la historia de la radio.;La Casa de les Radios se encuentra ubicada en un edificio vanguardista situado en un entorno paradisíaco y con vistas impresionantes. La exposición que alberga la Casa de les Radios consta de dos colecciones, la reunida por José Alonso Onís, que según inventario se compone de 340 piezas (gramófonos, gramolas, micrófonos, discos...) y la reunida por la Asociación de Vecinos de Suares, que consta de 144 receptores. En la exposición se pueden ver 156 piezas que se irán renovando paulatinamente. El recorrido está organizado de forma cronológica, desde los aparatos más antiguos y emblemáticos que explican la historia de la radio, hasta llegar a los más recientes en la planta superior.;Concertar visita en teléfono 985 700 004 en horario de 9:00 a 14:00 h.4;Individual: 2 ? Grupo(+15): 1 ?;;;;43.338917,-5.585149;;/documents/11022/75630/casa-de-las-radios-%285%29.jpg/aff6aadb-cab8-40b5-9c3e-37d69b26c165?t=1614851341946,/documents/11022/75630/casa-de-las-radios-%283%29.jpg/0b1d5632-5d09-4e17-82b0-f6923b45c4ec?t=1614851316881,/documents/11022/75630/casa-de-las-radios-%281%29.jpg/b06da407-5ef6-44f9-b7fd-8b46b3901567?t=1614851290621,/documents/11022/75630/casa-de-las-radios-%284%29.jpg/dc8f11c9-2839-414d-b102-9c110d3b2ce1?t=1614851328301;Casa de les Radios,Casa de les Radios,Casa de les Radios,Casa de les Radios;,,,
Ecomuseo de Somiedo;;Somiedo;Occidente de Asturias;Caunedo, s/n. 33840. Somiedo;985 763 984 / 985 763 652;ecomuseodesomiedo@gmail.com;http://www.redmeda.com;www.somiedo.es;;;;;https://www.facebook.com/Somiedo.EcomuseoDeSomiedo;https://twitter.com/EcomuseoSomiedo;;;;;;;;;;Los oficios tradicionales, la trashumancia y las construcciones con cubierta vegetal;El Ecomuseo de Somiedo nace a partir del proyecto, sobre un museo etnográfico, que el Ayuntamiento encarga al antropólogo Adolfo García Martínez en el año 1991. Él parte de la idea de ecomuseo porque es la que mejor se adapta a la pretensión de difundir los modos de vida, comportamientos técnicos, sociales, etc., de la sociedad rural. Así el equipamiento estudia paisajes culturales que las comunidades humanas han ido escribiendo y trata de recuperar, leer e interpretar ese texto. En este sentido, el medio natural y el patrimonio cultural son las dos caras o los dos componentes de una misma realidad. El proyecto se estructura en tres partes: los oficios, la casa y las rutas etnográficas. Inicialmente se ubica en Pola de Somiedo la parte dedicada a los oficios tradicionales y es inaugurado en 1996. Siguiendo con el desarrollo del proyecto, en el año 2001 se abre al público la parte dedicada a la casa. Consta de tres viviendas que aún conservan su cubierta vegetal, de escoba, "teitos de escoba" y a través de su mobiliario, distribución, partes que las componen, etc., se puede hacer un recorrido por los tipos de vivienda y su evolución en el tiempo, que está íntimamente relacionada con una economía agraria, ganadera, de subsistencia. Posteriormente, en el año 2011, se amplía la parte dedicada a los oficios y se traslada la exposición a la escuela de Caunedo. Es un bello edificio inaugurado como escuela pública en el año 1953 y costeado por el oriundo del pueblo y emigrado a Cuba, Jose Feito Taladrid. El proyecto de dicha escuela fue encargado al arquitecto Julio Galán Gómez y de la dirección de obra se ocupó   el aparejador Enrique Rodríguez Balbín. Consta de dos plantas y sótano, además de un edificio anexo que era la vivienda de los maestros. La exposición de los oficios (madreñeiro, carpinteiro, goxeiro, ferreiro y canteiro) la componen los útiles y herramientas necesarios para el desarrollo de cada uno de ellos, expuestos de forma didáctica y complementada con vídeos que muestran el trabajo de los artesanos. Casi la totalidad de los fondos del Ecomuseo proceden de donaciones de los vecinos de Somiedo. Una de las aulas está dedicada a recordar la historia del propio edificio y sus usos como escuela, escuela-taller y ahora museo, además de servir para presentaciones, charlas, exposiciones, etc. En la segunda planta, a través de algunos objetos, vídeos y paneles, abordamos el concepto de trashumancia, técnica ganadera fundada en la racionalidad económica, pues consiste en desplazar al animal, a lo largo del ciclo anual, para que aproveche así los pastos. Tres tipos de trashumancia se dan en Somiedo: la interior o de radio corto (de los pueblos a las brañas), la de radio largo o de los vaqueiros d'alzada (desde pueblos de Somiedo a otros pueblos en altitudes más bajas) y la mesteña (de los rebaños de ovejas desde Extremadura a los puertos de Somiedo). El carácter eminentemente ganadero de Somiedo se manifiesta en su paisaje, en la ordenación del mismo: prados, montes, brañas, caminos, etc. Las numerosas brañas repartidas por todo el concejo, y que se pueden recorrer en rutas señalizadas, están conformadas por zonas de pasto y sus cabanas y corros que, dependiendo de su uso, varían en tamaño y materiales utilizados para su construcción. Así las hay de teito de escoba (con planta circular o rectangular) como las del valle del Saliencia, La Pornacal o braña Viecha y enteras de piedra (de planta circular) como las de Sousas o La Mesa. También de teito de escoba se conserva un hórreo en el pueblo de Urria y un molino en El Valle.;Los Oficios y la Trashumancia (Caunedo) 16/09 a 30/06 Miércoles, jueves y viernes: 11:00 a 14:00 h. Sábado y domingo: 11:00 a 14:00 y 16:00 a 19:00 h. Cerrado: lunes y martes 01/07 a 15/09 Lunes a domingo: 11:00 a 14:00 y 16:00 a 20:00 h. La Casa (Veigas) 16/09 a 30/06 Miércoles a domingo: 11:00 a 14:00 h. y 16:00 a 19:00 h. Cerrado: lunes y martes 01/07 a 15/09 Lunes a domingo: 11:00 a 14:00 y 16:00 a 20:00 h.  ;Individual: 2 ? Niños (<16): 1 ? Grupo (+20): 1 ? Niños (<6), grupos en visita escolar: Gratuito Entrada gratuita: Lunes (verano);;Para las visitas en grupo se ruega llamar o mandar email (ecomuseodesomiedo@gmail.com) con antelación. Entre los servicios del Ecomuseo encontramos: visitas guiadas para grupos, exposiciones temporales, venta de publicaciones, tienda del museo, aula de usos múltiples y espacios para eventos (jardín, patio).  ;;43.093573,-6.253835;;/documents/11022/82417/Ecomuseo-2.jpg/edb85706-6222-4c31-b097-227b12bd676c?t=1545994978543,/documents/11022/82417/Ecomuseo-1.jpg/77f8ace2-4d9e-4174-ac69-5d9938301795?t=1545994977967,/documents/11022/82417/goxeiros.jpg/386e7963-6876-4c68-83b6-821ce96e25f4?t=1545034640276,/documents/11022/82417/MuseoEcomuseo3.jpg/cc488da8-af31-4c91-8c27-2d18f378dd65?t=1389304846101;,,,;,,,
Museo Vaqueiro de Asturias;;Tineo;Occidente de Asturias;Naraval, 28. 33878 Naraval (Tineo);985 80 48 35 / 677 89 69 92;manxelon@hotmail.com;http://www.muva.es;;;;;;;;;;;;;;;;;Dos escenarios para recordar la vida de los vaqueiros de alzada;Los vaqueiros de alzada son un grupo cultural asturiano cuya actividad principal era la ganadería trashumante. Su vida pastoril, la trashumancia y su hábitat aislado fueron la base de los enfrentamientos con los aldeanos labradores (xaldos), y los roces con las autoridades, tanto civiles como eclesiásticas. El Museo Vaqueiro de Asturias lo forman dos secciones: La primera está constituida por un conjunto de vivienda, panera y pajar, que datan de finales del siglo XVIII, recientemente restaurada, respetando fielmente las pautas constructivas de la vivienda vaqueira de finales del s. XIX. Se localiza en el barrio de la Barzaniecha, en el oeste del pueblo de Naraval, formando un bello conjunto con el resto de edificaciones de la zona. El Museo consta de tres partes bien diferenciadas: El edificio principal tiene en su parte superior la vivienda. A la entrada está la chariega, con su char y forno de leña. Pasamos a la sala dormitorio en la que no faltan los bierzos, camastros y demás enseres, y salimos al corredor, que tiene en su extremo el cuarto la folga. En la parte baja del edificio está la corte, en la que podemos ver desde una pequeña fouz al antiguo chaveguín romano. Por una escalera se accede al edificio central, la panera, típica del occidente astur, utilizada para guardar el grano, la carne y otros productos de la tierra. La segunda, en el pueblo de Folgueras del Río, braña de la parroquia de Navaral podemos ver otra casa antigua, reparada sin alterar su estado original, como casa vaqueira de finales del siglo XVIII, y destinada a museo. Esta casa está en la parte más alta del pueblo y se divide en dos partes, una como corte y otra como vivienda, en la que destaca la manera que tenían de vivir los antiguos vaqueiros, en un local bastante pequeño, que llenaban con un camastro, la chariega, el escano y otros enseres.   Dentro del conjunto-museo se encuentra otro edificio, antaño utilizado como pajar y corte, y que en este proyecto ubica, en la parte baja, un almacén para restauración de piezas y los aseos, y en la parte superior la sala de audiovisuales, en la que se podrá ver: Paneles ilustrativos y dibujos de temas relacionados con el museo Exposición de fotografías Proyección de diapositivas Proyección de videos Podemos escuchar música tradicional asturiana y del folclore vaqueiro Mesas redondas, charlas-coloquio y otras actividades didácticas.  ;Verano (Del 15/07 al 15/09): Lunes a domingo: 11:00-14:00 y 16:00-20:00 h. Resto del año: Visitas concertadas por teléfono;;;Cerrado temporalmente.;;43.425356,-6.536483;;/documents/11022/77064/MuseoVaqueiro1.jpg/ec3d67c3-e275-4261-ab86-051c64bbd4c2?t=1390507206034,/documents/11022/77064/MuseoVaqueiro2.jpg/78ceccef-0a5e-4207-b5c2-07ab7577fdd0?t=1390507206240,/documents/11022/77064/MuseoVaqueiro3.jpg/a4421f26-7a35-4103-a628-efb1386e2949?t=1390507206397;,,;,,
Museo de Bellas Artes de Asturias;;Oviedo;Centro de Asturias;C/ Santa Ana, 1. 33003 Oviedo/Uviéu;985 213 061;museobbaa@museobbaa.com;http://www.museobbaa.com;;;;;;https://www.facebook.com/museobellasartesasturias;https://twitter.com/mbellasartesas;https://www.youtube.com/user/MuseoBellasArtes;;https://www.pinterest.com/museodebellasar;;;;Linkedin;https://www.linkedin.com/company/museo-de-bellas-artes-de-asturias;;El Museo de Bellas Artes de Asturias abrió sus puertas en 1980. Hoy cuenta con una de las mejores colecciones de Arte de España, integrada por 15.000 piezas de los siglos XIV y XXI, con obras de El Greco, Goya, Sorolla, Picasso, Dalí y Miró.;Actualmente está instalado en una serie de edificios situados en el Casco Histórico de Oviedo/Uviéu: el Palacio de Velarde (1765), obra del arquitecto Manuel Reguera, que conecta con un inmueble destinado a oficinas&#59; la Casa de Oviedo-Portal (1660), construida por Melchor de Velasco, y el edificio de ampliación, diseñado por Francisco Mangado e inaugurado en 2015. En total, más de 4500 metros cuadrados expositivos en los que mostrar el rico patrimonio artístico que atesora. La colección del Museo está formada por más de 15.000 piezas del siglo XIV a la actualidad e incluye una variada representación de pintura, escultura, obra sobre papel (dibujo y grabado), fotografía y artes aplicadas e industriales (especialmente vidrio y loza). En ella sobresalen nombres de artistas asturianos, nacionales e internacionales como El Greco, Reni, Zurbarán, Murillo, Carreño de Miranda, la saga de lo Menéndez, Kauffmann, Goya, Pérez Villaamil, Pinazo, Menéndez Pidal, Uría, Sorolla, Regoyos, Valle, Piñole, Picasso, Dalí, Miró Tápies y Barceló, entre muchos otros. Es una colección abierta, que se incremente cada año gracias a adquisiciones, donaciones, depósitos y otras fórmulas como la dación, destacando dentro de estas dos últimas modalidades los depósitos de los museos del Prado y Reina Sofía, así como la dación de la Colección Pedro Masaveu.;Invierno: Martes a viernes: 10:30 a 14:00 y 16:30 a 20:30 h. Sábados: 11:30 a 14:00 y 17:00 a 20:00 h. Domingos y festivos: 11:30 a 14:30 h. Verano (julio y agosto) Martes a sábado: 10:30 a 14:00 y 16:00 a 20:00 h. Domingos y festivos: 10:30 a 14:30 h. Lunes cerrado;Gratuito.;;Aforo máximo de entrada y control de aforos en las salas. Biblioteca cerrada hasta el 7 de junio.;;43.361928,-5.844485;;/documents/11022/84727/MuseoBellasArtes1.jpg?t=1389302279154,/documents/11022/84727/MuseoBellasArtes2.jpg?t=1389302317906,/documents/11022/84727/MuseoBellasArtes3.jpg?t=1389302343356,/documents/11022/84727/MuseoBellasArtes4.jpg?t=1389302377603;Museo de Bellas Artes de Asturias,Museo de Bellas Artes de Asturias,,Museo de Bellas Artes de Asturias;,,,
Museo de la Apicultura;;Caso;Centro de Asturias;Antigua Escuela, junto a la Iglesia de Santa María la Real de Tañes;985 608 097;reservas@museoscaso.com;https://www.ayto-caso.es/museos;;;;;;;;;;;;;;;;;El Museo de la Apicultura forma junto con el Museo de la Madera, el conjunto de museos etnográficos de Caso;En este concejo, que ocupa una buena parte del espacio protegido Parque Natural de Redes, las formas de vida tradicionales, representativas del mundo rural asturiano, están aún muy presentes. Es por ello que sus museos están dedicados a dos actividades muy arraigadas en ese territorio, la apicultura y el trabajo de la madera. La miel y la cera eran dos productos básicos en la vida de las comunidades rurales. La miel ha sido desde antaño el edulcorante natural y la cera la materia prima con innumerables aplicaciones, siendo la principal la elaboración de velas y cirios. En el Museo de la Apicultura de Caso conoceremos el ciclo vital de las abejas y su importancia para el equilibrio natural del planeta, entenderemos los fundamentos del trabajo del apicultor y las aplicaciones de los productos obtenidos. A través de su exposición observaremos la evolución de las colmenas, los trabajos para su preparación, los cuidados que requerían y la extracción de la miel. Junto a ello, una interesante colección de herramientas, utensilios e indumentaria necesarios para que los apicultores realicen su labor. La visita al Museo de la Apicultura es una estupenda visita para los niños, un buen plan para realizar en familia. Desde un documental expresamente concebido para ellos hasta una simpática abeja, nuestra mascota, todo está listo para recibir a nuestros pequeños visitantes. El entorno del Museo de la Apicultura es sin duda espectacular. El edificio que lo alberga, una antigua escuela rural, está situado próximo a Santa María de Tanes, un hermoso ejemplo de iglesia rural asturiana que comenzó a construirse en el siglo XVI en un solar que ocupaba una iglesia medieval y conserva añadidos de siglos posteriores. Destaca su pórtico con ventanas abiertas al actual embalse de Tanes, desde donde podremos disfrutar del hermoso paisaje de este rincón del concejo de Caso.  ;Verano (26/06 a 10/09) Miércoles a sábado: 11:00 a 14:00 y 16:00 h a 19:00 h Domingos: 11:00 a 14:00 h. Cerrado: Lunes, martes y domingos (tarde) Visita guiadas: 12:00 y 17:00 h.   Resto del año: Sábados, domingos y festivos: 11:00 a 14:00 y 16:00 a 18:00 h. Visita guiadas: 12:00 y 17:00 h. Visitas combinadas: Museo + Colegiata de Tanes  ;;;Las visitas de los colegios se concertarán los días de apertura;;43.203777, -5.395626;;/documents/11022/1491007/AuladelaApicultura1.jpg/478a06f3-ca23-419b-983f-91de418919cc?t=1466412051370,/documents/11022/1491007/AuladelaApicultura2.jpg/09d09245-f380-4dc0-ac49-abe11f0a28a6?t=1466412053706,/documents/11022/1491007/AuladelaApicultura3.jpg/ec57bc58-5b16-48ce-a604-0eba15bdf771?t=1466412054107,/documents/11022/1491007/Apicultura_7.jpg/f3a551b0-7952-422c-b7fd-65c0640b5a5b?t=1491996387204;Museo de la Apicultura exterior,Museo de la Apicultura interior,Museo de la Apicultura,Aula de la Apicultura interior;,,,
El Centro de Interpretación Vía Carisa (CIVICA);;Aller;Centro de Asturias;La Enfistiella. Ctra. AE-3. 33677 - Nembra;654 500 553;civica@aller.es;;;;;;;https://www.facebook.com/turismo.aller/;https://twitter.com/turismoaller?lang=es;;;;https://www.instagram.com/allerturismo/;;;;;;Centro de Interpretación dedicado principalmente al proceso histórico relacionado con la construcción de la Vía Carisa;El Centro de Interpretación Vía Carisa está ubicado en un entorno de gran belleza y singularidad, el valle del Río Negro (Nembra), en el concejo de Aller. Su visita transporta a otra época, concretamente al siglo I A.C. momento en que tendrán lugar las Guerras astur-cántabras que culminarán el proceso de romanización en la Península Ibérica. En este contexto, se construye una carretera, la Vía Carisa que servirá como medio para unir Asturias con el resto del Imperio. Su desarrollo no estará exento de dificultades, tanto por las características orográficas de la cordillera como por la resistencia del pueblo astur. Uno de los puntos fuertes del centro es la exposición de las réplicas de los materiales encontrados en los yacimientos arqueológicos, antiguos campamentos romanos. En definitiva, un apasionante recorrido histórico, ilustrado con fotografías, paneles explicativos, vídeos, materiales interactivos... Y la posibilidad de realizar el recorrido mediante una interesante visita guiada por las instalaciones.  ;11/06 a 31/08: Miércoles a domingo: 10:00 a 14:30 y 16:30 a 19:00 h. Cerrado: lunes y martes    ;Entrada gratuita;;;;43.1431034,-5.696316;;/documents/11022/4400908/CI_Villa_Carisa+%284%29.jpg/0841b553-a034-4fa3-8355-095d4fa38534?t=1567161531604,/documents/11022/4400908/CI_Villa_Carisa+%281%29.jpg/ba25b031-ebf8-4269-9c90-db95246603cf?t=1567161529943,/documents/11022/4400908/CI_Villa_Carisa+%283%29.jpg/ec0cd3c7-86e4-443c-8c4d-d3e4c6e048c5?t=1567161530983,/documents/11022/4400908/CI_Villa_Carisa+%282%29.jpg/c5535f53-53a7-407b-9322-39fe34f0a874?t=1567161530494;Centro de Interpretación de la Vía Carisa,Centro de Interpretación de la Vía Carisa,Centro de Interpretación de la Vía Carisa,Centro de Interpretación de la Vía Carisa;,,,
